time,state,action,new_state,cost,new_state_cost,total_cost
12,"[0, 5, 15]","[(5, 0), (10, 0), (5, 0)]","[5, 15, 20]",1641.984787,0.0,1641.984787
12,"[0, 5, 15]","[(0, 1), (10, 0), (5, 0)]","[0, 15, 20]",1606.48859025,0.0,1606.48859025
12,"[0, 5, 15]","[(10, 0), (5, 0), (5, 0)]","[10, 10, 20]",1641.984787,0.0,1641.984787
12,"[0, 5, 15]","[(5, 0), (5, 0), (5, 0)]","[5, 10, 20]",1606.48859025,0.0,1606.48859025
12,"[0, 5, 15]","[(0, 1), (5, 0), (5, 0)]","[0, 10, 20]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 5, 15]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 20]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 5, 15]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 20]",970.9923935,0.0,970.9923935
12,"[0, 5, 15]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 20]",935.4961967500001,0.0,935.4961967500001
12,"[0, 5, 15]","[(10, 0), (10, 0), (0, 1)]","[10, 15, 5]",441.9847870000001,0.0,441.9847870000001
12,"[0, 5, 15]","[(5, 0), (10, 0), (0, 1)]","[5, 15, 5]",406.48859025,0.0,406.48859025
12,"[0, 5, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 15, 5]",370.99239350000005,0.0,370.99239350000005
12,"[0, 5, 15]","[(10, 0), (5, 0), (0, 1)]","[10, 10, 5]",406.48859025,0.0,406.48859025
12,"[0, 5, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 5]",370.99239349999993,0.0,370.99239349999993
12,"[0, 5, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 5]",335.49619674999997,0.0,335.49619674999997
12,"[0, 5, 15]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 5]",-229.0076065,0.0,-229.0076065
12,"[0, 5, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 5]",-264.50380325000003,0.0,-264.50380325000003
12,"[0, 5, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 5]",-300.0,0.0,-300.0
12,"[0, 5, 20]","[(10, 0), (10, 0), (10, 0)]","[10, 15, 30]",1712.9771805,Inf,Inf
12,"[0, 5, 20]","[(5, 0), (10, 0), (10, 0)]","[5, 15, 30]",1677.48098375,Inf,Inf
12,"[0, 5, 20]","[(0, 1), (10, 0), (10, 0)]","[0, 15, 30]",1641.9847869999999,Inf,Inf
12,"[0, 5, 20]","[(10, 0), (5, 0), (10, 0)]","[10, 10, 30]",1677.48098375,Inf,Inf
12,"[0, 5, 20]","[(5, 0), (5, 0), (10, 0)]","[5, 10, 30]",1641.9847869999999,Inf,Inf
12,"[0, 5, 20]","[(0, 1), (5, 0), (10, 0)]","[0, 10, 30]",1606.48859025,Inf,Inf
12,"[0, 5, 20]","[(10, 0), (0, 1), (10, 0)]","[10, 0, 30]",1041.9847869999999,Inf,Inf
12,"[0, 5, 20]","[(5, 0), (0, 1), (10, 0)]","[5, 0, 30]",1006.4885902499999,Inf,Inf
12,"[0, 5, 20]","[(0, 1), (0, 1), (10, 0)]","[0, 0, 30]",970.9923934999999,Inf,Inf
12,"[0, 5, 20]","[(10, 0), (10, 0), (5, 0)]","[10, 15, 25]",1677.4809837500002,Inf,Inf
12,"[0, 5, 20]","[(5, 0), (10, 0), (5, 0)]","[5, 15, 25]",1641.984787,Inf,Inf
12,"[0, 5, 20]","[(0, 1), (10, 0), (5, 0)]","[0, 15, 25]",1606.48859025,Inf,Inf
12,"[0, 5, 20]","[(10, 0), (5, 0), (5, 0)]","[10, 10, 25]",1641.984787,Inf,Inf
12,"[0, 5, 20]","[(5, 0), (5, 0), (5, 0)]","[5, 10, 25]",1606.48859025,Inf,Inf
12,"[0, 5, 20]","[(0, 1), (5, 0), (5, 0)]","[0, 10, 25]",1570.9923935000002,Inf,Inf
12,"[0, 5, 20]","[(10, 0), (0, 1), (5, 0)]","[10, 0, 25]",1006.4885902500001,Inf,Inf
12,"[0, 5, 20]","[(5, 0), (0, 1), (5, 0)]","[5, 0, 25]",970.9923935,Inf,Inf
12,"[0, 5, 20]","[(0, 1), (0, 1), (5, 0)]","[0, 0, 25]",935.4961967500001,Inf,Inf
12,"[0, 5, 20]","[(10, 0), (10, 0), (0, 1)]","[10, 15, 10]",441.9847870000001,0.0,441.9847870000001
12,"[0, 5, 20]","[(5, 0), (10, 0), (0, 1)]","[5, 15, 10]",406.48859025,0.0,406.48859025
12,"[0, 5, 20]","[(0, 1), (10, 0), (0, 1)]","[0, 15, 10]",370.99239350000005,0.0,370.99239350000005
12,"[0, 5, 20]","[(10, 0), (5, 0), (0, 1)]","[10, 10, 10]",406.48859025,0.0,406.48859025
12,"[0, 5, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 10, 10]",370.99239349999993,0.0,370.99239349999993
12,"[0, 5, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 10, 10]",335.49619674999997,0.0,335.49619674999997
12,"[0, 5, 20]","[(10, 0), (0, 1), (0, 1)]","[10, 0, 10]",-229.0076065,0.0,-229.0076065
12,"[0, 5, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 0, 10]",-264.50380325000003,0.0,-264.50380325000003
12,"[0, 5, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 0, 10]",-300.0,0.0,-300.0
12,"[0, 10, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 20, 10]",1712.9771805,0.0,1712.9771805
12,"[0, 10, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 20, 10]",1677.48098375,0.0,1677.48098375
12,"[0, 10, 0]","[(0, 1), (10, 0), (10, 0)]","[0, 20, 10]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 10, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 15, 10]",1677.48098375,0.0,1677.48098375
12,"[0, 10, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 15, 10]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 10, 0]","[(0, 1), (5, 0), (10, 0)]","[0, 15, 10]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 0]","[(10, 0), (0, 1), (10, 0)]","[10, 5, 10]",1041.9847869999999,0.0,1041.9847869999999
12,"[0, 10, 0]","[(5, 0), (0, 1), (10, 0)]","[5, 5, 10]",1006.4885902499999,0.0,1006.4885902499999
12,"[0, 10, 0]","[(0, 1), (0, 1), (10, 0)]","[0, 5, 10]",970.9923934999999,0.0,970.9923934999999
12,"[0, 10, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 20, 5]",1677.4809837500002,0.0,1677.4809837500002
12,"[0, 10, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 20, 5]",1641.984787,0.0,1641.984787
12,"[0, 10, 0]","[(0, 1), (10, 0), (5, 0)]","[0, 20, 5]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 15, 5]",1641.984787,0.0,1641.984787
12,"[0, 10, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 15, 5]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 15, 5]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 10, 0]","[(10, 0), (0, 1), (5, 0)]","[10, 5, 5]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 10, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 5]",970.9923935,0.0,970.9923935
12,"[0, 10, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 5]",935.4961967500001,0.0,935.4961967500001
12,"[0, 10, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 20, -10]",441.9847870000001,Inf,Inf
12,"[0, 10, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 20, -10]",406.48859025,Inf,Inf
12,"[0, 10, 0]","[(0, 1), (10, 0), (0, 1)]","[0, 20, -10]",370.99239350000005,Inf,Inf
12,"[0, 10, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 15, -10]",406.48859025,Inf,Inf
12,"[0, 10, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 15, -10]",370.99239349999993,Inf,Inf
12,"[0, 10, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 15, -10]",335.49619674999997,Inf,Inf
12,"[0, 10, 0]","[(10, 0), (0, 1), (0, 1)]","[10, 5, -10]",-229.0076065,Inf,Inf
12,"[0, 10, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 5, -10]",-264.50380325000003,Inf,Inf
12,"[0, 10, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 5, -10]",-300.0,Inf,Inf
12,"[0, 10, 5]","[(10, 0), (10, 0), (10, 0)]","[10, 20, 15]",1712.9771805,0.0,1712.9771805
12,"[0, 10, 5]","[(5, 0), (10, 0), (10, 0)]","[5, 20, 15]",1677.48098375,0.0,1677.48098375
12,"[0, 10, 5]","[(0, 1), (10, 0), (10, 0)]","[0, 20, 15]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 10, 5]","[(10, 0), (5, 0), (10, 0)]","[10, 15, 15]",1677.48098375,0.0,1677.48098375
12,"[0, 10, 5]","[(5, 0), (5, 0), (10, 0)]","[5, 15, 15]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 10, 5]","[(0, 1), (5, 0), (10, 0)]","[0, 15, 15]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 5]","[(10, 0), (0, 1), (10, 0)]","[10, 5, 15]",1041.9847869999999,0.0,1041.9847869999999
12,"[0, 10, 5]","[(5, 0), (0, 1), (10, 0)]","[5, 5, 15]",1006.4885902499999,0.0,1006.4885902499999
12,"[0, 10, 5]","[(0, 1), (0, 1), (10, 0)]","[0, 5, 15]",970.9923934999999,0.0,970.9923934999999
12,"[0, 10, 5]","[(10, 0), (10, 0), (5, 0)]","[10, 20, 10]",1677.4809837500002,0.0,1677.4809837500002
12,"[0, 10, 5]","[(5, 0), (10, 0), (5, 0)]","[5, 20, 10]",1641.984787,0.0,1641.984787
12,"[0, 10, 5]","[(0, 1), (10, 0), (5, 0)]","[0, 20, 10]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 5]","[(10, 0), (5, 0), (5, 0)]","[10, 15, 10]",1641.984787,0.0,1641.984787
12,"[0, 10, 5]","[(5, 0), (5, 0), (5, 0)]","[5, 15, 10]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 5]","[(0, 1), (5, 0), (5, 0)]","[0, 15, 10]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 10, 5]","[(10, 0), (0, 1), (5, 0)]","[10, 5, 10]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 10, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 10]",970.9923935,0.0,970.9923935
12,"[0, 10, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 10]",935.4961967500001,0.0,935.4961967500001
12,"[0, 10, 5]","[(10, 0), (10, 0), (0, 1)]","[10, 20, -5]",441.9847870000001,Inf,Inf
12,"[0, 10, 5]","[(5, 0), (10, 0), (0, 1)]","[5, 20, -5]",406.48859025,Inf,Inf
12,"[0, 10, 5]","[(0, 1), (10, 0), (0, 1)]","[0, 20, -5]",370.99239350000005,Inf,Inf
12,"[0, 10, 5]","[(10, 0), (5, 0), (0, 1)]","[10, 15, -5]",406.48859025,Inf,Inf
12,"[0, 10, 5]","[(5, 0), (5, 0), (0, 1)]","[5, 15, -5]",370.99239349999993,Inf,Inf
12,"[0, 10, 5]","[(0, 1), (5, 0), (0, 1)]","[0, 15, -5]",335.49619674999997,Inf,Inf
12,"[0, 10, 5]","[(10, 0), (0, 1), (0, 1)]","[10, 5, -5]",-229.0076065,Inf,Inf
12,"[0, 10, 5]","[(5, 0), (0, 1), (0, 1)]","[5, 5, -5]",-264.50380325000003,Inf,Inf
12,"[0, 10, 5]","[(0, 1), (0, 1), (0, 1)]","[0, 5, -5]",-300.0,Inf,Inf
12,"[0, 10, 10]","[(10, 0), (10, 0), (10, 0)]","[10, 20, 20]",1712.9771805,0.0,1712.9771805
12,"[0, 10, 10]","[(5, 0), (10, 0), (10, 0)]","[5, 20, 20]",1677.48098375,0.0,1677.48098375
12,"[0, 10, 10]","[(0, 1), (10, 0), (10, 0)]","[0, 20, 20]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 10, 10]","[(10, 0), (5, 0), (10, 0)]","[10, 15, 20]",1677.48098375,0.0,1677.48098375
12,"[0, 10, 10]","[(5, 0), (5, 0), (10, 0)]","[5, 15, 20]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 10, 10]","[(0, 1), (5, 0), (10, 0)]","[0, 15, 20]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 10]","[(10, 0), (0, 1), (10, 0)]","[10, 5, 20]",1041.9847869999999,0.0,1041.9847869999999
12,"[0, 10, 10]","[(5, 0), (0, 1), (10, 0)]","[5, 5, 20]",1006.4885902499999,0.0,1006.4885902499999
12,"[0, 10, 10]","[(0, 1), (0, 1), (10, 0)]","[0, 5, 20]",970.9923934999999,0.0,970.9923934999999
12,"[0, 10, 10]","[(10, 0), (10, 0), (5, 0)]","[10, 20, 15]",1677.4809837500002,0.0,1677.4809837500002
12,"[0, 10, 10]","[(5, 0), (10, 0), (5, 0)]","[5, 20, 15]",1641.984787,0.0,1641.984787
12,"[0, 10, 10]","[(0, 1), (10, 0), (5, 0)]","[0, 20, 15]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 10]","[(10, 0), (5, 0), (5, 0)]","[10, 15, 15]",1641.984787,0.0,1641.984787
12,"[0, 10, 10]","[(5, 0), (5, 0), (5, 0)]","[5, 15, 15]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 10]","[(0, 1), (5, 0), (5, 0)]","[0, 15, 15]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 10, 10]","[(10, 0), (0, 1), (5, 0)]","[10, 5, 15]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 10, 10]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 15]",970.9923935,0.0,970.9923935
12,"[0, 10, 10]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 15]",935.4961967500001,0.0,935.4961967500001
12,"[0, 10, 10]","[(10, 0), (10, 0), (0, 1)]","[10, 20, 0]",441.9847870000001,0.0,441.9847870000001
12,"[0, 10, 10]","[(5, 0), (10, 0), (0, 1)]","[5, 20, 0]",406.48859025,0.0,406.48859025
12,"[0, 10, 10]","[(0, 1), (10, 0), (0, 1)]","[0, 20, 0]",370.99239350000005,0.0,370.99239350000005
12,"[0, 10, 10]","[(10, 0), (5, 0), (0, 1)]","[10, 15, 0]",406.48859025,0.0,406.48859025
12,"[0, 10, 10]","[(5, 0), (5, 0), (0, 1)]","[5, 15, 0]",370.99239349999993,0.0,370.99239349999993
12,"[0, 10, 10]","[(0, 1), (5, 0), (0, 1)]","[0, 15, 0]",335.49619674999997,0.0,335.49619674999997
12,"[0, 10, 10]","[(10, 0), (0, 1), (0, 1)]","[10, 5, 0]",-229.0076065,0.0,-229.0076065
12,"[0, 10, 10]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 0]",-264.50380325000003,0.0,-264.50380325000003
12,"[0, 10, 10]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 0]",-300.0,0.0,-300.0
12,"[0, 10, 15]","[(10, 0), (10, 0), (10, 0)]","[10, 20, 25]",1712.9771805,Inf,Inf
12,"[0, 10, 15]","[(5, 0), (10, 0), (10, 0)]","[5, 20, 25]",1677.48098375,Inf,Inf
12,"[0, 10, 15]","[(0, 1), (10, 0), (10, 0)]","[0, 20, 25]",1641.9847869999999,Inf,Inf
12,"[0, 10, 15]","[(10, 0), (5, 0), (10, 0)]","[10, 15, 25]",1677.48098375,Inf,Inf
12,"[0, 10, 15]","[(5, 0), (5, 0), (10, 0)]","[5, 15, 25]",1641.9847869999999,Inf,Inf
12,"[0, 10, 15]","[(0, 1), (5, 0), (10, 0)]","[0, 15, 25]",1606.48859025,Inf,Inf
12,"[0, 10, 15]","[(10, 0), (0, 1), (10, 0)]","[10, 5, 25]",1041.9847869999999,Inf,Inf
12,"[0, 10, 15]","[(5, 0), (0, 1), (10, 0)]","[5, 5, 25]",1006.4885902499999,Inf,Inf
12,"[0, 10, 15]","[(0, 1), (0, 1), (10, 0)]","[0, 5, 25]",970.9923934999999,Inf,Inf
12,"[0, 10, 15]","[(10, 0), (10, 0), (5, 0)]","[10, 20, 20]",1677.4809837500002,0.0,1677.4809837500002
12,"[0, 10, 15]","[(5, 0), (10, 0), (5, 0)]","[5, 20, 20]",1641.984787,0.0,1641.984787
12,"[0, 10, 15]","[(0, 1), (10, 0), (5, 0)]","[0, 20, 20]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 15]","[(10, 0), (5, 0), (5, 0)]","[10, 15, 20]",1641.984787,0.0,1641.984787
12,"[0, 10, 15]","[(5, 0), (5, 0), (5, 0)]","[5, 15, 20]",1606.48859025,0.0,1606.48859025
12,"[0, 10, 15]","[(0, 1), (5, 0), (5, 0)]","[0, 15, 20]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 10, 15]","[(10, 0), (0, 1), (5, 0)]","[10, 5, 20]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 10, 15]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 20]",970.9923935,0.0,970.9923935
12,"[0, 10, 15]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 20]",935.4961967500001,0.0,935.4961967500001
12,"[0, 10, 15]","[(10, 0), (10, 0), (0, 1)]","[10, 20, 5]",441.9847870000001,0.0,441.9847870000001
12,"[0, 10, 15]","[(5, 0), (10, 0), (0, 1)]","[5, 20, 5]",406.48859025,0.0,406.48859025
12,"[0, 10, 15]","[(0, 1), (10, 0), (0, 1)]","[0, 20, 5]",370.99239350000005,0.0,370.99239350000005
12,"[0, 10, 15]","[(10, 0), (5, 0), (0, 1)]","[10, 15, 5]",406.48859025,0.0,406.48859025
12,"[0, 10, 15]","[(5, 0), (5, 0), (0, 1)]","[5, 15, 5]",370.99239349999993,0.0,370.99239349999993
12,"[0, 10, 15]","[(0, 1), (5, 0), (0, 1)]","[0, 15, 5]",335.49619674999997,0.0,335.49619674999997
12,"[0, 10, 15]","[(10, 0), (0, 1), (0, 1)]","[10, 5, 5]",-229.0076065,0.0,-229.0076065
12,"[0, 10, 15]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 5]",-264.50380325000003,0.0,-264.50380325000003
12,"[0, 10, 15]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 5]",-300.0,0.0,-300.0
12,"[0, 10, 20]","[(10, 0), (10, 0), (10, 0)]","[10, 20, 30]",1712.9771805,Inf,Inf
12,"[0, 10, 20]","[(5, 0), (10, 0), (10, 0)]","[5, 20, 30]",1677.48098375,Inf,Inf
12,"[0, 10, 20]","[(0, 1), (10, 0), (10, 0)]","[0, 20, 30]",1641.9847869999999,Inf,Inf
12,"[0, 10, 20]","[(10, 0), (5, 0), (10, 0)]","[10, 15, 30]",1677.48098375,Inf,Inf
12,"[0, 10, 20]","[(5, 0), (5, 0), (10, 0)]","[5, 15, 30]",1641.9847869999999,Inf,Inf
12,"[0, 10, 20]","[(0, 1), (5, 0), (10, 0)]","[0, 15, 30]",1606.48859025,Inf,Inf
12,"[0, 10, 20]","[(10, 0), (0, 1), (10, 0)]","[10, 5, 30]",1041.9847869999999,Inf,Inf
12,"[0, 10, 20]","[(5, 0), (0, 1), (10, 0)]","[5, 5, 30]",1006.4885902499999,Inf,Inf
12,"[0, 10, 20]","[(0, 1), (0, 1), (10, 0)]","[0, 5, 30]",970.9923934999999,Inf,Inf
12,"[0, 10, 20]","[(10, 0), (10, 0), (5, 0)]","[10, 20, 25]",1677.4809837500002,Inf,Inf
12,"[0, 10, 20]","[(5, 0), (10, 0), (5, 0)]","[5, 20, 25]",1641.984787,Inf,Inf
12,"[0, 10, 20]","[(0, 1), (10, 0), (5, 0)]","[0, 20, 25]",1606.48859025,Inf,Inf
12,"[0, 10, 20]","[(10, 0), (5, 0), (5, 0)]","[10, 15, 25]",1641.984787,Inf,Inf
12,"[0, 10, 20]","[(5, 0), (5, 0), (5, 0)]","[5, 15, 25]",1606.48859025,Inf,Inf
12,"[0, 10, 20]","[(0, 1), (5, 0), (5, 0)]","[0, 15, 25]",1570.9923935000002,Inf,Inf
12,"[0, 10, 20]","[(10, 0), (0, 1), (5, 0)]","[10, 5, 25]",1006.4885902500001,Inf,Inf
12,"[0, 10, 20]","[(5, 0), (0, 1), (5, 0)]","[5, 5, 25]",970.9923935,Inf,Inf
12,"[0, 10, 20]","[(0, 1), (0, 1), (5, 0)]","[0, 5, 25]",935.4961967500001,Inf,Inf
12,"[0, 10, 20]","[(10, 0), (10, 0), (0, 1)]","[10, 20, 10]",441.9847870000001,0.0,441.9847870000001
12,"[0, 10, 20]","[(5, 0), (10, 0), (0, 1)]","[5, 20, 10]",406.48859025,0.0,406.48859025
12,"[0, 10, 20]","[(0, 1), (10, 0), (0, 1)]","[0, 20, 10]",370.99239350000005,0.0,370.99239350000005
12,"[0, 10, 20]","[(10, 0), (5, 0), (0, 1)]","[10, 15, 10]",406.48859025,0.0,406.48859025
12,"[0, 10, 20]","[(5, 0), (5, 0), (0, 1)]","[5, 15, 10]",370.99239349999993,0.0,370.99239349999993
12,"[0, 10, 20]","[(0, 1), (5, 0), (0, 1)]","[0, 15, 10]",335.49619674999997,0.0,335.49619674999997
12,"[0, 10, 20]","[(10, 0), (0, 1), (0, 1)]","[10, 5, 10]",-229.0076065,0.0,-229.0076065
12,"[0, 10, 20]","[(5, 0), (0, 1), (0, 1)]","[5, 5, 10]",-264.50380325000003,0.0,-264.50380325000003
12,"[0, 10, 20]","[(0, 1), (0, 1), (0, 1)]","[0, 5, 10]",-300.0,0.0,-300.0
12,"[0, 15, 0]","[(10, 0), (10, 0), (10, 0)]","[10, 25, 10]",1712.9771805,Inf,Inf
12,"[0, 15, 0]","[(5, 0), (10, 0), (10, 0)]","[5, 25, 10]",1677.48098375,Inf,Inf
12,"[0, 15, 0]","[(0, 1), (10, 0), (10, 0)]","[0, 25, 10]",1641.9847869999999,Inf,Inf
12,"[0, 15, 0]","[(10, 0), (5, 0), (10, 0)]","[10, 20, 10]",1677.48098375,0.0,1677.48098375
12,"[0, 15, 0]","[(5, 0), (5, 0), (10, 0)]","[5, 20, 10]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 15, 0]","[(0, 1), (5, 0), (10, 0)]","[0, 20, 10]",1606.48859025,0.0,1606.48859025
12,"[0, 15, 0]","[(10, 0), (0, 1), (10, 0)]","[10, 10, 10]",1041.9847869999999,0.0,1041.9847869999999
12,"[0, 15, 0]","[(5, 0), (0, 1), (10, 0)]","[5, 10, 10]",1006.4885902499999,0.0,1006.4885902499999
12,"[0, 15, 0]","[(0, 1), (0, 1), (10, 0)]","[0, 10, 10]",970.9923934999999,0.0,970.9923934999999
12,"[0, 15, 0]","[(10, 0), (10, 0), (5, 0)]","[10, 25, 5]",1677.4809837500002,Inf,Inf
12,"[0, 15, 0]","[(5, 0), (10, 0), (5, 0)]","[5, 25, 5]",1641.984787,Inf,Inf
12,"[0, 15, 0]","[(0, 1), (10, 0), (5, 0)]","[0, 25, 5]",1606.48859025,Inf,Inf
12,"[0, 15, 0]","[(10, 0), (5, 0), (5, 0)]","[10, 20, 5]",1641.984787,0.0,1641.984787
12,"[0, 15, 0]","[(5, 0), (5, 0), (5, 0)]","[5, 20, 5]",1606.48859025,0.0,1606.48859025
12,"[0, 15, 0]","[(0, 1), (5, 0), (5, 0)]","[0, 20, 5]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 15, 0]","[(10, 0), (0, 1), (5, 0)]","[10, 10, 5]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 15, 0]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 5]",970.9923935,0.0,970.9923935
12,"[0, 15, 0]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 5]",935.4961967500001,0.0,935.4961967500001
12,"[0, 15, 0]","[(10, 0), (10, 0), (0, 1)]","[10, 25, -10]",441.9847870000001,Inf,Inf
12,"[0, 15, 0]","[(5, 0), (10, 0), (0, 1)]","[5, 25, -10]",406.48859025,Inf,Inf
12,"[0, 15, 0]","[(0, 1), (10, 0), (0, 1)]","[0, 25, -10]",370.99239350000005,Inf,Inf
12,"[0, 15, 0]","[(10, 0), (5, 0), (0, 1)]","[10, 20, -10]",406.48859025,Inf,Inf
12,"[0, 15, 0]","[(5, 0), (5, 0), (0, 1)]","[5, 20, -10]",370.99239349999993,Inf,Inf
12,"[0, 15, 0]","[(0, 1), (5, 0), (0, 1)]","[0, 20, -10]",335.49619674999997,Inf,Inf
12,"[0, 15, 0]","[(10, 0), (0, 1), (0, 1)]","[10, 10, -10]",-229.0076065,Inf,Inf
12,"[0, 15, 0]","[(5, 0), (0, 1), (0, 1)]","[5, 10, -10]",-264.50380325000003,Inf,Inf
12,"[0, 15, 0]","[(0, 1), (0, 1), (0, 1)]","[0, 10, -10]",-300.0,Inf,Inf
12,"[0, 15, 5]","[(10, 0), (10, 0), (10, 0)]","[10, 25, 15]",1712.9771805,Inf,Inf
12,"[0, 15, 5]","[(5, 0), (10, 0), (10, 0)]","[5, 25, 15]",1677.48098375,Inf,Inf
12,"[0, 15, 5]","[(0, 1), (10, 0), (10, 0)]","[0, 25, 15]",1641.9847869999999,Inf,Inf
12,"[0, 15, 5]","[(10, 0), (5, 0), (10, 0)]","[10, 20, 15]",1677.48098375,0.0,1677.48098375
12,"[0, 15, 5]","[(5, 0), (5, 0), (10, 0)]","[5, 20, 15]",1641.9847869999999,0.0,1641.9847869999999
12,"[0, 15, 5]","[(0, 1), (5, 0), (10, 0)]","[0, 20, 15]",1606.48859025,0.0,1606.48859025
12,"[0, 15, 5]","[(10, 0), (0, 1), (10, 0)]","[10, 10, 15]",1041.9847869999999,0.0,1041.9847869999999
12,"[0, 15, 5]","[(5, 0), (0, 1), (10, 0)]","[5, 10, 15]",1006.4885902499999,0.0,1006.4885902499999
12,"[0, 15, 5]","[(0, 1), (0, 1), (10, 0)]","[0, 10, 15]",970.9923934999999,0.0,970.9923934999999
12,"[0, 15, 5]","[(10, 0), (10, 0), (5, 0)]","[10, 25, 10]",1677.4809837500002,Inf,Inf
12,"[0, 15, 5]","[(5, 0), (10, 0), (5, 0)]","[5, 25, 10]",1641.984787,Inf,Inf
12,"[0, 15, 5]","[(0, 1), (10, 0), (5, 0)]","[0, 25, 10]",1606.48859025,Inf,Inf
12,"[0, 15, 5]","[(10, 0), (5, 0), (5, 0)]","[10, 20, 10]",1641.984787,0.0,1641.984787
12,"[0, 15, 5]","[(5, 0), (5, 0), (5, 0)]","[5, 20, 10]",1606.48859025,0.0,1606.48859025
12,"[0, 15, 5]","[(0, 1), (5, 0), (5, 0)]","[0, 20, 10]",1570.9923935000002,0.0,1570.9923935000002
12,"[0, 15, 5]","[(10, 0), (0, 1), (5, 0)]","[10, 10, 10]",1006.4885902500001,0.0,1006.4885902500001
12,"[0, 15, 5]","[(5, 0), (0, 1), (5, 0)]","[5, 10, 10]",970.9923935,0.0,970.9923935
12,"[0, 15, 5]","[(0, 1), (0, 1), (5, 0)]","[0, 10, 10]",935.4961967500001,0.0,935.4961967500001
12,"[0, 15, 5]","[(10, 0), (10, 0), (0, 1)]","[10, 25, -5]",441.9847870000001,Inf,Inf
12,"[0, 15, 5]","[(5, 0), (10, 0), (0, 1)]","[5, 25, -5]",406.48859025,Inf,Inf
